api,EUR oil,operator_name,well_name
33053026790000,181446,SLAWSON EXPLORATION COMPANY INC,STILETTO FEDERAL  1-29H
33053027070000,60158,PETRO-HUNT DAKOTA LLC,KODIAK GRIZZLY  13-6H
33053027750000,205742,SLAWSON EXPLORATION COMPANY INC,MAVERICK FEDERAL  1-14
33053030070000,0,WPX ENERGY WILLISTON LLC,NATHAN HALE  4-25H
33053030250000,404369,WPX ENERGY WILLISTON LLC,CROSS  2-13H
33053030480000,169456,ENERPLUS RESOURCES USA CORPORATION,RED TIPPED ARROW  33-11H
33053030510000,0,ENERPLUS RESOURCES USA CORPORATION,SHERWOOD  28-44H
33053030720000,438856,WPX ENERGY WILLISTON LLC,BEARSTAIL  32-29H
33053030830000,0,MARATHON OIL COMPANY,HUNTS ALONG USA   12-1H
33053031170000,238066,ABRAXAS PETROLEUM CORP,YELLOWSTONE  31-1H
33053031280000,716160,WPX ENERGY WILLISTON LLC,MORSETTE  35-26H
33053031470000,222069,PETRO-HUNT DAKOTA LLC,GRIZZLY FEDERAL  1-27H-R
33053031520000,472171,WPX ENERGY WILLISTON LLC,KYW  27-34H
33053031550000,5317,SLAWSON EXPLORATION COMPANY INC,STATE  1-36H
33053031670000,317661,ABRAXAS PETROLEUM CORP,RAVIN  26-35-1H
33053031820000,467530,MARATHON OIL COMPANY,TAT USA  34-22H
33053031920000,481848,MARATHON OIL COMPANY,GOODALL USA  11-29H
33053031940000,208860,ABRAXAS PETROLEUM CORP,STENEHJEM  27-34-1H
33053031960000,272701,MARATHON OIL COMPANY,QUALE USA  31-20H
33053032010000,212248,ENERPLUS RESOURCES USA CORPORATION,AUDREY RABBITHEAD HALL  33-11H
33053032090000,146619,PETRO-HUNT DAKOTA LLC,JEANIE 25-36  2H
33053032150000,784963,MARATHON OIL COMPANY,DANKS USA  11-3H
33053032430000,145108,MARATHON OIL COMPANY,TAT USA   13-23H
33053032480000,806863,MARATHON OIL COMPANY,CROW FLIES HIGH USA  31-4H
33053032490000,287297,SLAWSON EXPLORATION COMPANY INC,CYCLONE  1-21-16H
33053032550000,87161,PETRO-HUNT DAKOTA LLC,EAST GRIZZLY FEDERAL  3-25-13-3H
33053032560000,223072,PETRO-HUNT DAKOTA LLC,EAST GRIZZLY FEDERAL  3-25-36-15H
33053032580000,620927,MARATHON OIL COMPANY,JONES USA   14-14H
33053032690000,248748,SLAWSON EXPLORATION COMPANY INC,BONANZA   1-21-16H
33053032960000,338438,ENERPLUS RESOURCES USA CORPORATION,DANKS  17-44H
33053032970000,379055,ENERPLUS RESOURCES USA CORPORATION,DANKS  20-41H
33053033120000,27493,SLAWSON EXPLORATION COMPANY INC,CONDOR  1-36-25H
33053033300000,353357,MARATHON OIL COMPANY,DEBBIE BAKLENKO USA  12-26H
33053033310000,565067,MARATHON OIL COMPANY,WINDY BOY USA   12-35H
33053033390000,350009,PETRO-HUNT DAKOTA LLC,MONGOOSE  1-8-5H
33053033420000,179125,SLAWSON EXPLORATION COMPANY INC,CROSSBOW  1-7-6H
33053033670000,458077,WPX ENERGY WILLISTON LLC,WOLF  27-34H
33053033810000,369944,WPX ENERGY WILLISTON LLC,RUBIA  16-24H
33053033910000,567745,ENERPLUS RESOURCES USA CORPORATION,HUDSON  13-21H
33053034140000,372956,MUREX PETROLEUM CORPORATION,BRADLEY MARK  35-26H
33053034210000,298497,WPX ENERGY WILLISTON LLC,SPOTTED HORN  26-35H
33053034290000,196790,MUREX PETROLEUM CORPORATION,AMY MICHELLE FEDERAL  16-21H
33053034370000,547561,WPX ENERGY WILLISTON LLC,MANDAREE WARRIOR  14-11H
33053034590000,763428,WPX ENERGY WILLISTON LLC,BEAR DEN  24-13H2
33053034600000,352586,ENERPLUS RESOURCES USA CORPORATION,FOOL BEAR  23-34H
33053034630000,191293,MUREX PETROLEUM CORPORATION,DARON WILLIAM  28-33H
33053034670000,232590,MUREX PETROLEUM CORPORATION,DAVID ROGER  18-19H
33053035040000,197556,SLAWSON EXPLORATION COMPANY INC,KAHUNA  1-7-6H
33053035170000,486367,WPX ENERGY WILLISTON LLC,GERALD HALE  33-28H
33053035360000,315181,WPX ENERGY WILLISTON LLC,PLENTY SWEET GRASS  18-19HC
33053035650000,181448,WPX ENERGY WILLISTON LLC,LUCY LONE FIGHT  16-22H
33053035920000,572675,ENERPLUS RESOURCES USA CORPORATION,MILES  151-94-28D-21H TF
33053036020000,281193,MUREX PETROLEUM CORPORATION,KIMBERLY DAWN  30-31H
33053036390000,483325,ENERPLUS RESOURCES USA CORPORATION,HALL  #5-11H
33053036410000,258197,WPX ENERGY WILLISTON LLC,BLUE BUTTES  3-21H
33053036450000,199965,SLAWSON EXPLORATION COMPANY INC,TABOO  1-25-36H
33053036550000,112185,WPX ENERGY WILLISTON LLC,STEVENSON  15-8H
33053036600000,304278,MUREX PETROLEUM CORPORATION,KEEGAN SCOTT  25-36H
33053036630000,666814,WPX ENERGY WILLISTON LLC,DELORES SAND  29-32H
33053036930000,209617,WPX ENERGY WILLISTON LLC,LINSETH  13-12HW
33053036940000,247985,SLAWSON EXPLORATION COMPANY INC,BARNSTORMER FEDERAL  #1-3-10H
33053036970000,390017,SLAWSON EXPLORATION COMPANY INC,GABRIEL  3-36-25H
33053037110000,355828,ENERPLUS RESOURCES USA CORPORATION,POINTER  149-94-23AH
33053037380000,655418,SLAWSON EXPLORATION COMPANY INC,WOLVERINE FEDERAL  #1-31-30H
33053037390000,770960,SLAWSON EXPLORATION COMPANY INC,WOLVERINE FEDERAL  4-31-30TFH
33053037530000,385068,WPX ENERGY WILLISTON LLC,BENSON  16-3H
33053037830000,556790,ENERPLUS RESOURCES USA CORPORATION,MANDAN  150-94-32C-29H TF
33053037840000,564084,ENERPLUS RESOURCES USA CORPORATION,HIDATSA  150-94-32C-29H
33053037850000,551977,ENERPLUS RESOURCES USA CORPORATION,TAT  150-94-32D-29H
33053037860000,509816,ENERPLUS RESOURCES USA CORPORATION,ARIKARA  150-94-32D-29H TF
33053038170000,45206,PETRO-HUNT DAKOTA LLC,GRIZZLY  149-104-15-12-1-2H
33053038740000,332338,SLAWSON EXPLORATION COMPANY INC,THOR   1-31-30H
33053038960000,186969,ABRAXAS PETROLEUM CORP,RAVIN  26-35-2H
