date,oil_productivity,gas_productivity,operator_name
2018-08-01,3599.0384615384614,6410.538461538462,SLAWSON EXPLORATION COMPANY INC
2018-07-01,2472.0384615384614,4878.615384615385,SLAWSON EXPLORATION COMPANY INC
2018-06-01,1847.5833333333333,4051.875,SLAWSON EXPLORATION COMPANY INC
2018-05-01,1851.0217391304348,4874.869565217391,SLAWSON EXPLORATION COMPANY INC
2018-04-01,1460.2608695652175,3498.804347826087,SLAWSON EXPLORATION COMPANY INC
2018-03-01,1232.5531914893618,3354.063829787234,SLAWSON EXPLORATION COMPANY INC
2018-02-01,1518.3191489361702,4304.0,SLAWSON EXPLORATION COMPANY INC
2018-01-01,1411.8,2528.3777777777777,SLAWSON EXPLORATION COMPANY INC
2017-12-01,1479.8478260869565,3060.282608695652,SLAWSON EXPLORATION COMPANY INC
2017-11-01,1372.6,2762.4444444444443,SLAWSON EXPLORATION COMPANY INC
2017-10-01,1447.4444444444443,3046.6,SLAWSON EXPLORATION COMPANY INC
2017-09-01,1452.6304347826087,3153.478260869565,SLAWSON EXPLORATION COMPANY INC
2017-08-01,1642.4,3635.6444444444446,SLAWSON EXPLORATION COMPANY INC
2017-07-01,1280.8695652173913,3241.2608695652175,SLAWSON EXPLORATION COMPANY INC
2017-06-01,1347.608695652174,3378.6521739130435,SLAWSON EXPLORATION COMPANY INC
2017-05-01,1711.8260869565217,3982.717391304348,SLAWSON EXPLORATION COMPANY INC
2017-04-01,1663.9545454545455,3601.3863636363635,SLAWSON EXPLORATION COMPANY INC
2017-03-01,1564.0416666666667,3243.6666666666665,SLAWSON EXPLORATION COMPANY INC
2017-02-01,1597.2978723404256,3541.063829787234,SLAWSON EXPLORATION COMPANY INC
2017-01-01,1664.0652173913043,3302.4347826086955,SLAWSON EXPLORATION COMPANY INC
2016-12-01,1695.5111111111112,3624.088888888889,SLAWSON EXPLORATION COMPANY INC
2016-11-01,1861.8125,3529.5625,SLAWSON EXPLORATION COMPANY INC
2016-10-01,1974.891304347826,3634.021739130435,SLAWSON EXPLORATION COMPANY INC
2016-09-01,1781.7674418604652,3543.860465116279,SLAWSON EXPLORATION COMPANY INC
2016-08-01,1930.9583333333333,3828.7916666666665,SLAWSON EXPLORATION COMPANY INC
2016-07-01,1940.1489361702127,3801.4893617021276,SLAWSON EXPLORATION COMPANY INC
2016-06-01,2058.8541666666665,3900.25,SLAWSON EXPLORATION COMPANY INC
2016-05-01,2154.574468085106,3736.978723404255,SLAWSON EXPLORATION COMPANY INC
2016-04-01,2201.75,3938.4166666666665,SLAWSON EXPLORATION COMPANY INC
2016-03-01,2455.5625,4067.3958333333335,SLAWSON EXPLORATION COMPANY INC
2016-02-01,1685.5531914893618,3145.574468085106,SLAWSON EXPLORATION COMPANY INC
2016-01-01,1986.3541666666667,3627.6041666666665,SLAWSON EXPLORATION COMPANY INC
2015-12-01,2402.7021276595747,3847.404255319149,SLAWSON EXPLORATION COMPANY INC
2015-11-01,2527.1555555555556,3760.711111111111,SLAWSON EXPLORATION COMPANY INC
2015-10-01,2496.25,3991.6041666666665,SLAWSON EXPLORATION COMPANY INC
2015-09-01,2525.1458333333335,3454.25,SLAWSON EXPLORATION COMPANY INC
2015-08-01,2538.8541666666665,3393.5208333333335,SLAWSON EXPLORATION COMPANY INC
2015-07-01,2631.6382978723404,3191.404255319149,SLAWSON EXPLORATION COMPANY INC
2015-06-01,3019.8125,3665.2083333333335,SLAWSON EXPLORATION COMPANY INC
2015-05-01,3531.7272727272725,4059.181818181818,SLAWSON EXPLORATION COMPANY INC
2015-04-01,3466.25,3711.8125,SLAWSON EXPLORATION COMPANY INC
2015-03-01,3219.413043478261,4088.2608695652175,SLAWSON EXPLORATION COMPANY INC
2015-02-01,2824.6739130434785,3633.608695652174,SLAWSON EXPLORATION COMPANY INC
2015-01-01,2710.9736842105262,3770.157894736842,SLAWSON EXPLORATION COMPANY INC
2014-12-01,3888.5526315789475,5546.105263157895,SLAWSON EXPLORATION COMPANY INC
2014-11-01,3655.324324324324,4690.378378378378,SLAWSON EXPLORATION COMPANY INC
2014-10-01,3064.8,4310.228571428572,SLAWSON EXPLORATION COMPANY INC
2014-09-01,4022.823529411765,5205.294117647059,SLAWSON EXPLORATION COMPANY INC
2014-02-01,4321.25,3588.90625,SLAWSON EXPLORATION COMPANY INC
2014-01-01,4509.892857142857,5688.75,SLAWSON EXPLORATION COMPANY INC
2013-12-01,5019.607142857143,6391.892857142857,SLAWSON EXPLORATION COMPANY INC
2013-11-01,4731.896551724138,4492.310344827586,SLAWSON EXPLORATION COMPANY INC
2013-10-01,4145.481481481482,1594.5925925925926,SLAWSON EXPLORATION COMPANY INC
2013-09-01,3639.84,2829.84,SLAWSON EXPLORATION COMPANY INC
